0	abd ombro direito:	139.55032764987044	flex cotovelo direito:	146.00364659796753	flex cotovelo esquerdo:	161.17395211795673	abd ombro esquerdo:	151.60227679748522	flex ombro direito:	28.084773719728762	flex ombro esquerdo:	85.3566663237411
1	abd ombro direito:	139.51258081624562	flex cotovelo direito:	146.004355222604	flex cotovelo esquerdo:	161.14863401920212	abd ombro esquerdo:	151.4987656228411	flex ombro direito:	28.082610777320113	flex ombro esquerdo:	85.24869450174535
2	abd ombro direito:	139.43683608420127	flex cotovelo direito:	146.0350166507098	flex cotovelo esquerdo:	161.11964614929903	abd ombro esquerdo:	151.41471194478817	flex ombro direito:	28.069721501242086	flex ombro esquerdo:	85.14839839074843
3	abd ombro direito:	139.40052950030832	flex cotovelo direito:	146.03933096306	flex cotovelo esquerdo:	161.13283420954187	abd ombro esquerdo:	151.34590351604854	flex ombro direito:	28.071398764204837	flex ombro esquerdo:	85.06990350920915
4	abd ombro direito:	139.37720180422343	flex cotovelo direito:	146.0276083839973	flex cotovelo esquerdo:	161.14491042803624	abd ombro esquerdo:	151.2677281310797	flex ombro direito:	28.073054836900965	flex ombro esquerdo:	84.98865727867437
5	abd ombro direito:	139.30855468384246	flex cotovelo direito:	146.0422458972519	flex cotovelo esquerdo:	161.13041475681143	abd ombro esquerdo:	151.18899522623343	flex ombro direito:	28.075410108827597	flex ombro esquerdo:	84.8756726239306
6	abd ombro direito:	139.29255963672503	flex cotovelo direito:	146.03165872641063	flex cotovelo esquerdo:	161.1226225428805	abd ombro esquerdo:	151.11703593851473	flex ombro direito:	28.10637119756913	flex ombro esquerdo:	84.79338024117057
7	abd ombro direito:	139.27628016241238	flex cotovelo direito:	146.0368269863107	flex cotovelo esquerdo:	161.10424791850104	abd ombro esquerdo:	151.04489937853472	flex ombro direito:	28.105589145026055	flex ombro esquerdo:	84.70815442318866
8	abd ombro direito:	139.20351272191073	flex cotovelo direito:	146.0386365687357	flex cotovelo esquerdo:	161.12824225494901	abd ombro esquerdo:	150.98555233019601	flex ombro direito:	28.111183353247828	flex ombro esquerdo:	84.6303718503769
9	abd ombro direito:	139.1434135818493	flex cotovelo direito:	146.0494908306914	flex cotovelo esquerdo:	161.14753828380162	abd ombro esquerdo:	150.90703138377498	flex ombro direito:	28.10773520210669	flex ombro esquerdo:	84.54781198470069
10	abd ombro direito:	139.09199052069948	flex cotovelo direito:	146.05595266414852	flex cotovelo esquerdo:	161.13122011162255	abd ombro esquerdo:	150.82584716913522	flex ombro direito:	28.109228945422583	flex ombro esquerdo:	84.46075734091589
11	abd ombro direito:	139.03010336625434	flex cotovelo direito:	146.05632043934813	flex cotovelo esquerdo:	161.1481786517819	abd ombro esquerdo:	150.74789240070106	flex ombro direito:	28.11987217376136	flex ombro esquerdo:	84.37051661113684
12	abd ombro direito:	138.94131726531475	flex cotovelo direito:	146.0555057321956	flex cotovelo esquerdo:	161.15846012812327	abd ombro esquerdo:	150.64604244805213	flex ombro direito:	28.113601436735657	flex ombro esquerdo:	84.26212112468025
13	abd ombro direito:	138.81613698129294	flex cotovelo direito:	146.20746134123664	flex cotovelo esquerdo:	161.16866783260804	abd ombro esquerdo:	150.53665999847874	flex ombro direito:	28.004126374566898	flex ombro esquerdo:	84.15050380821293
14	abd ombro direito:	138.73720089741258	flex cotovelo direito:	146.1890525416668	flex cotovelo esquerdo:	161.18146945518086	abd ombro esquerdo:	150.4042483373812	flex ombro direito:	27.9923325384222	flex ombro esquerdo:	84.0199341118306
15	abd ombro direito:	138.70793306552198	flex cotovelo direito:	146.2155951328244	flex cotovelo esquerdo:	161.20828076280682	abd ombro esquerdo:	150.30105629800585	flex ombro direito:	27.996730681287772	flex ombro esquerdo:	83.90551309348126
16	abd ombro direito:	138.6201950942934	flex cotovelo direito:	146.19700067758416	flex cotovelo esquerdo:	161.2206897673659	abd ombro esquerdo:	150.11901492586077	flex ombro direito:	27.99567745416431	flex ombro esquerdo:	83.75418222202107
17	abd ombro direito:	138.54300270544755	flex cotovelo direito:	146.22516368201724	flex cotovelo esquerdo:	161.22301791307845	abd ombro esquerdo:	150.02289487150867	flex ombro direito:	27.990767376740823	flex ombro esquerdo:	83.62357147954081
18	abd ombro direito:	138.46787787876946	flex cotovelo direito:	146.19716627143387	flex cotovelo esquerdo:	161.21448762199944	abd ombro esquerdo:	149.88473245528255	flex ombro direito:	27.985688445710405	flex ombro esquerdo:	83.47443449532874
19	abd ombro direito:	138.39064149260028	flex cotovelo direito:	146.20477238580307	flex cotovelo esquerdo:	161.21628149904362	abd ombro esquerdo:	149.75286389107737	flex ombro direito:	27.989937385433485	flex ombro esquerdo:	83.3296104834426
20	abd ombro direito:	138.34151064466786	flex cotovelo direito:	146.20748562826273	flex cotovelo esquerdo:	161.17301139326946	abd ombro esquerdo:	149.601652473253	flex ombro direito:	27.979754587444052	flex ombro esquerdo:	83.16988012187532
21	abd ombro direito:	138.2471016343894	flex cotovelo direito:	146.18443076159872	flex cotovelo esquerdo:	161.19299512484926	abd ombro esquerdo:	149.4648054820053	flex ombro direito:	27.978918387775472	flex ombro esquerdo:	83.02162305230758
22	abd ombro direito:	138.1832155490512	flex cotovelo direito:	146.20451444750353	flex cotovelo esquerdo:	161.18306872470723	abd ombro esquerdo:	149.3294322446702	flex ombro direito:	27.96476014204531	flex ombro esquerdo:	82.86922173773266
