abd ombro esquerdo:	112.19237673088757
abd ombro esquerdo:	107.12458940130068
abd ombro esquerdo:	109.99063243309229
abd ombro esquerdo:	112.40174550100805
abd ombro esquerdo:	112.38167997183703
abd ombro esquerdo:	110.2455760938691
abd ombro esquerdo:	107.50058937252658
abd ombro esquerdo:	105.4261841176482
abd ombro esquerdo:	104.50628365218743
abd ombro esquerdo:	104.72965812124083
abd ombro esquerdo:	105.92597032063901
abd ombro esquerdo:	107.90949281529647
abd ombro esquerdo:	110.52360795075808
abd ombro esquerdo:	113.65563844587402
abd ombro esquerdo:	117.2388982195834
abd ombro esquerdo:	123.09766545070451
abd ombro esquerdo:	127.52243009410739
abd ombro esquerdo:	133.0424213033499
abd ombro esquerdo:	139.598645915523
abd ombro esquerdo:	146.61889917796316
abd ombro esquerdo:	153.1337479494868
abd ombro esquerdo:	158.00970786719762
abd ombro esquerdo:	160.29102590452152
abd ombro esquerdo:	160.28793864965473
abd ombro esquerdo:	158.96504731775727
abd ombro esquerdo:	157.34909703400825
abd ombro esquerdo:	155.60960036297408
abd ombro esquerdo:	153.6682624030226
abd ombro esquerdo:	151.21002301653542
abd ombro esquerdo:	147.42826193973505
abd ombro esquerdo:	143.40223744722053
abd ombro esquerdo:	139.82808504454474
abd ombro esquerdo:	136.8378520642011
abd ombro esquerdo:	134.18768794608047
abd ombro esquerdo:	132.01592359959713
abd ombro esquerdo:	130.26804969639392
abd ombro esquerdo:	129.12132320292926
abd ombro esquerdo:	128.36051058440023
abd ombro esquerdo:	127.63434022736698
abd ombro esquerdo:	126.8431158320127
abd ombro esquerdo:	126.22329141942481
abd ombro esquerdo:	125.92994923591944
abd ombro esquerdo:	125.69166815700191
abd ombro esquerdo:	125.91982306600147
abd ombro esquerdo:	126.13583393407637
abd ombro esquerdo:	126.30434541360441
abd ombro esquerdo:	126.47995445082239
abd ombro esquerdo:	126.83635610764158
abd ombro esquerdo:	127.66068103884854
abd ombro esquerdo:	128.78735575157515
abd ombro esquerdo:	130.48346751911447
abd ombro esquerdo:	131.8656525148326
abd ombro esquerdo:	132.18472444633147
abd ombro esquerdo:	130.8648866437146
abd ombro esquerdo:	128.39259929207097
abd ombro esquerdo:	124.7025706122033
abd ombro esquerdo:	120.16658770365243
abd ombro esquerdo:	115.52782637722227
abd ombro esquerdo:	111.13139827361745
abd ombro esquerdo:	107.55682580393734
abd ombro esquerdo:	105.04152515658191
abd ombro esquerdo:	103.54570809427574
abd ombro esquerdo:	102.92404690522068
abd ombro esquerdo:	102.8890475046189
abd ombro esquerdo:	103.31656632613213
abd ombro esquerdo:	103.98724851695451
abd ombro esquerdo:	104.59189640359658
abd ombro esquerdo:	105.334414208394
abd ombro esquerdo:	105.92740389806104
abd ombro esquerdo:	106.72322170497017
abd ombro esquerdo:	107.69026934853562
abd ombro esquerdo:	109.1157940162968
abd ombro esquerdo:	110.85215043566055
abd ombro esquerdo:	113.1169031656015
abd ombro esquerdo:	116.31056847604253
abd ombro esquerdo:	121.06685453602451
abd ombro esquerdo:	127.17338678600215
abd ombro esquerdo:	134.07853811489747
abd ombro esquerdo:	141.0679224407877
abd ombro esquerdo:	148.86346231671354
abd ombro esquerdo:	156.34887883122872
abd ombro esquerdo:	163.84375644335827
abd ombro esquerdo:	170.39591165696754
abd ombro esquerdo:	174.82982018184742
abd ombro esquerdo:	178.70190345722804
abd ombro esquerdo:	179.06676768389102
abd ombro esquerdo:	178.32980998358303
abd ombro esquerdo:	178.1392596256248
abd ombro esquerdo:	178.52265325626132
abd ombro esquerdo:	178.9575083957237
abd ombro esquerdo:	179.97058515984088
abd ombro esquerdo:	179.0520003709083
abd ombro esquerdo:	178.67817562301676
abd ombro esquerdo:	178.9338636370466
abd ombro esquerdo:	178.84215075469456
abd ombro esquerdo:	175.53036548571015
abd ombro esquerdo:	170.8914235444086
abd ombro esquerdo:	169.60838856680346
abd ombro esquerdo:	170.05114420995838
abd ombro esquerdo:	171.02164369783324
abd ombro esquerdo:	173.29919184048163
abd ombro esquerdo:	176.79498795791292
abd ombro esquerdo:	176.98822919633562
abd ombro esquerdo:	167.28547959040952
abd ombro esquerdo:	155.24921520517017
abd ombro esquerdo:	143.54282242970334
abd ombro esquerdo:	133.2322433174268
abd ombro esquerdo:	126.00905899929026
abd ombro esquerdo:	121.3565901391345
abd ombro esquerdo:	118.5646395674811
abd ombro esquerdo:	117.09672372722258
abd ombro esquerdo:	116.39066258577729
abd ombro esquerdo:	116.12337194625528
abd ombro esquerdo:	116.25012611495083
abd ombro esquerdo:	116.42964039113514
abd ombro esquerdo:	116.65004645007198
abd ombro esquerdo:	116.77424529448695
abd ombro esquerdo:	116.94158864200084
abd ombro esquerdo:	117.3068743982569
abd ombro esquerdo:	118.0617988647256
abd ombro esquerdo:	119.36194800618352
abd ombro esquerdo:	121.10522398066536
abd ombro esquerdo:	123.36581313099502
abd ombro esquerdo:	125.99377946066397
abd ombro esquerdo:	128.95756128647784
abd ombro esquerdo:	131.89064991031813
abd ombro esquerdo:	134.9266973087915
abd ombro esquerdo:	137.83015218387928
abd ombro esquerdo:	140.4583903920145
abd ombro esquerdo:	142.77390148939944
abd ombro esquerdo:	145.08089775674608
abd ombro esquerdo:	147.24122361414973
abd ombro esquerdo:	149.24606984094873
abd ombro esquerdo:	151.164904264024
abd ombro esquerdo:	152.97009901218735
abd ombro esquerdo:	154.37013932713148
abd ombro esquerdo:	155.327385599016
abd ombro esquerdo:	155.92762102255065
abd ombro esquerdo:	156.56329087152278
abd ombro esquerdo:	156.83563008414785
