flexao cabeca:	137.15065831964216	flexao tronco:	129.99830496556024	rotacao tronco:	5.2863382875775455
flexao cabeca:	137.19083284983572	flexao tronco:	129.95189506826043	rotacao tronco:	5.281794294177932
flexao cabeca:	137.3026180194672	flexao tronco:	129.88235543137097	rotacao tronco:	5.329375230315944
flexao cabeca:	137.514167004072	flexao tronco:	129.73152692397287	rotacao tronco:	5.390107310085219
flexao cabeca:	137.82719372485266	flexao tronco:	129.56342593804828	rotacao tronco:	5.449303652086213
flexao cabeca:	138.07746070994946	flexao tronco:	129.37241256919185	rotacao tronco:	5.5534859899073705
flexao cabeca:	138.0261462368522	flexao tronco:	129.24698863838802	rotacao tronco:	5.704999014221256
flexao cabeca:	138.51430041072703	flexao tronco:	129.1991922127999	rotacao tronco:	5.745258019921279
flexao cabeca:	138.7068378656886	flexao tronco:	129.14729894929056	rotacao tronco:	5.748343389119967
flexao cabeca:	138.79113135028567	flexao tronco:	129.07713039320757	rotacao tronco:	5.785466951177313
flexao cabeca:	138.53570827996404	flexao tronco:	129.0298484138852	rotacao tronco:	5.839630150538655
flexao cabeca:	138.58779166502973	flexao tronco:	129.0422264432574	rotacao tronco:	5.875549797705065
flexao cabeca:	138.96365576364784	flexao tronco:	129.05658989316217	rotacao tronco:	5.903163276468302
flexao cabeca:	138.99627032299105	flexao tronco:	129.03251220058544	rotacao tronco:	5.870801150157183
flexao cabeca:	138.77622868741733	flexao tronco:	129.02634641938425	rotacao tronco:	5.8298286562747865
flexao cabeca:	139.09255336316565	flexao tronco:	129.01729593094768	rotacao tronco:	5.859211338934874
flexao cabeca:	138.83734765108477	flexao tronco:	129.04038457078562	rotacao tronco:	5.889870264230929
flexao cabeca:	138.8696081895687	flexao tronco:	129.0671906902446	rotacao tronco:	5.883409636703282
flexao cabeca:	138.89668363576547	flexao tronco:	129.096716667461	rotacao tronco:	5.829513194645225
flexao cabeca:	138.91968968021797	flexao tronco:	129.1072005598927	rotacao tronco:	5.72958512543663
flexao cabeca:	138.92506997674616	flexao tronco:	129.1480286431754	rotacao tronco:	5.686039803351384
flexao cabeca:	138.88357697905687	flexao tronco:	129.18490191475797	rotacao tronco:	5.655314690429024
flexao cabeca:	139.1093971703589	flexao tronco:	129.19515038238558	rotacao tronco:	5.635120198905624
flexao cabeca:	138.73831932162796	flexao tronco:	129.18348280163065	rotacao tronco:	5.6279615902851425
flexao cabeca:	138.72693238182666	flexao tronco:	129.19790045748812	rotacao tronco:	5.632505713518324
flexao cabeca:	138.74003751732852	flexao tronco:	129.21757648464694	rotacao tronco:	5.617013577824975
flexao cabeca:	138.7992124057501	flexao tronco:	129.21803655569659	rotacao tronco:	5.622220887987029
flexao cabeca:	139.15425731022444	flexao tronco:	129.25406382425493	rotacao tronco:	5.587482765523047
flexao cabeca:	139.24450878372016	flexao tronco:	129.29602614781004	rotacao tronco:	5.547017669903995
flexao cabeca:	139.34297327564158	flexao tronco:	129.31372011792658	rotacao tronco:	5.5061655609210804
flexao cabeca:	139.45191286913496	flexao tronco:	129.33516983553042	rotacao tronco:	5.492152872604918
flexao cabeca:	139.52665123622836	flexao tronco:	129.36642984628105	rotacao tronco:	5.4679217088714465
flexao cabeca:	139.57702055729754	flexao tronco:	129.3648456280071	rotacao tronco:	5.450260477775486
flexao cabeca:	139.35165187892764	flexao tronco:	129.35836596180854	rotacao tronco:	5.444431450598062
flexao cabeca:	139.41889316809736	flexao tronco:	129.3648215944343	rotacao tronco:	5.428035682422401
flexao cabeca:	139.53703690342365	flexao tronco:	129.38550879726412	rotacao tronco:	5.412847581857771
flexao cabeca:	139.69370111962968	flexao tronco:	129.4076580333264	rotacao tronco:	5.384082693049318
flexao cabeca:	139.93089161643704	flexao tronco:	129.42302908108505	rotacao tronco:	5.37790015372649
flexao cabeca:	140.24616232979392	flexao tronco:	129.4334053644914	rotacao tronco:	5.353972502127562
flexao cabeca:	140.5858586674048	flexao tronco:	129.4520381444392	rotacao tronco:	5.317740904660272
flexao cabeca:	140.89833432521087	flexao tronco:	129.47990676505228	rotacao tronco:	5.284965408988089
flexao cabeca:	141.24671999185517	flexao tronco:	129.5093766663154	rotacao tronco:	5.237428811504181
flexao cabeca:	141.53706653386777	flexao tronco:	129.54820489005013	rotacao tronco:	5.200489464782026
flexao cabeca:	141.81302080430353	flexao tronco:	129.57228985626745	rotacao tronco:	5.157667570599537
flexao cabeca:	142.10599752969472	flexao tronco:	129.61785297276245	rotacao tronco:	5.1100220822927716
flexao cabeca:	142.34006516360998	flexao tronco:	129.62465756690477	rotacao tronco:	5.101175552116428
flexao cabeca:	142.536980033895	flexao tronco:	129.61991646489398	rotacao tronco:	5.128519334220214
flexao cabeca:	142.7604227788085	flexao tronco:	129.62798583418078	rotacao tronco:	5.136710785483607
flexao cabeca:	142.96823358723867	flexao tronco:	129.59701361538472	rotacao tronco:	5.1731266464046355
flexao cabeca:	143.15535026792742	flexao tronco:	129.5838900133119	rotacao tronco:	5.199926711143458
flexao cabeca:	143.39846953241096	flexao tronco:	129.57359769058226	rotacao tronco:	5.235465745628381
flexao cabeca:	143.61908498520447	flexao tronco:	129.57567721719872	rotacao tronco:	5.250232048916536
flexao cabeca:	143.86751895117592	flexao tronco:	129.57244080253932	rotacao tronco:	5.249318650278624
flexao cabeca:	144.08099568163055	flexao tronco:	129.56559879725086	rotacao tronco:	5.277465360825769
flexao cabeca:	144.31303584704312	flexao tronco:	129.5588228640566	rotacao tronco:	5.294227037722835
