NO_OF_FRAMES	3032
NO_OF_CAMERAS	7
NO_OF_MARKERS	16
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-05-23, 12:43:16	5518.60135940
DATA_INCLUDED	3D
MARKER_NAMES	AEC7	IJE	EIPS_D	EIPS_E	EIAS_D	EIAS_E	AC_D	AC_E	EM_E	EL_E	PER_E	PEU_E	EM_D	EL_D	PER_D	PEU_D
2201	22.00000	655.914	372.436	1463.963	651.717	548.196	1371.820	694.262	353.801	1001.310	595.667	355.625	1002.978	751.053	580.941	876.399	547.724	585.018	882.608	844.089	436.439	1417.962	492.832	428.828	1468.422	229.588	480.743	1308.042	187.325	493.761	1387.860	31.648	632.026	1297.173	1.732	590.040	1336.797	904.375	390.015	1103.772	959.790	390.093	1166.403	1029.208	542.627	930.003	1073.477	502.212	923.731
2202	22.01000	655.920	372.396	1463.951	651.743	548.127	1371.817	694.281	353.765	1001.303	595.661	355.573	1002.967	751.073	580.920	876.349	547.710	584.948	882.599	844.077	436.414	1417.929	492.838	428.791	1468.426	229.606	480.713	1308.030	187.317	493.723	1387.861	31.675	631.995	1297.168	1.783	590.002	1336.729	904.325	389.883	1103.711	959.706	389.991	1166.407	1029.161	542.493	929.974	1073.390	502.060	923.687
2203	22.02000	655.896	372.365	1463.943	651.743	548.125	1371.777	694.253	353.710	1001.313	595.676	355.546	1002.879	749.576	580.647	875.617	547.666	584.926	882.617	844.062	436.339	1417.919	492.839	428.788	1468.428	229.621	480.697	1308.024	187.322	493.712	1387.836	31.658	631.997	1297.183	1.739	589.991	1336.751	904.214	389.765	1103.690	959.627	389.887	1166.345	1029.134	542.338	929.896	1073.320	501.902	923.641
2204	22.03000	655.876	372.317	1463.946	651.744	548.083	1371.774	694.268	353.673	1001.260	595.662	355.501	1002.880	750.953	580.853	876.327	547.676	584.887	882.619	844.064	436.279	1417.908	492.826	428.758	1468.409	229.616	480.678	1308.004	187.309	493.678	1387.822	31.668	631.967	1297.174	1.729	589.971	1336.732	904.157	389.668	1103.705	959.625	389.769	1166.319	1029.053	542.180	929.823	1073.289	501.747	923.572
2205	22.04000	655.854	372.292	1463.966	651.687	548.031	1371.675	694.260	353.632	1001.256	595.656	355.466	1002.883	751.043	580.811	876.361	547.657	584.859	882.621	844.043	436.246	1417.896	492.832	428.753	1468.396	229.603	480.666	1307.983	187.302	493.646	1387.818	31.627	631.951	1297.215	1.670	589.962	1336.736	904.053	389.565	1103.694	959.549	389.659	1166.284	1029.042	542.016	929.769	1073.221	501.589	923.507
2206	22.05000	655.853	372.270	1463.932	651.689	548.000	1371.717	694.257	353.612	1001.249	595.607	355.434	1002.852	750.992	580.787	876.319	547.670	584.834	882.597	844.005	436.181	1417.873	492.842	428.752	1468.393	229.616	480.647	1308.004	187.307	493.631	1387.809	31.690	631.918	1297.192	1.735	589.925	1336.726	904.055	389.480	1103.633	959.513	389.560	1166.262	1029.000	541.845	929.723	1073.184	501.430	923.465
2207	22.06000	655.822	372.226	1463.946	651.632	547.963	1371.710	694.207	353.570	1001.262	595.629	355.398	1002.872	750.945	580.760	876.330	547.684	584.793	882.599	844.027	436.137	1417.849	492.826	428.687	1468.401	229.626	480.596	1307.993	187.307	493.592	1387.799	31.723	631.879	1297.180	1.725	589.881	1336.701	903.988	389.373	1103.611	959.427	389.407	1166.246	1028.949	541.652	929.674	1073.144	501.253	923.409
2208	22.07000	655.840	372.196	1463.952	651.685	547.893	1371.673	694.215	353.544	1001.248	595.620	355.388	1002.891	751.068	580.723	876.374	547.662	584.782	882.623	844.010	436.059	1417.855	492.840	428.634	1468.399	229.598	480.558	1307.993	187.292	493.533	1387.803	31.716	631.840	1297.153	1.725	589.880	1336.702	903.945	389.268	1103.571	959.370	389.283	1166.204	1028.883	541.471	929.602	1073.118	501.081	923.378
2209	22.08000	655.822	372.166	1463.970	651.653	547.870	1371.669	694.159	353.492	1001.264	595.609	355.388	1002.881	750.988	580.698	876.348	547.675	584.768	882.605	843.998	436.015	1417.849	492.829	428.617	1468.378	229.603	480.498	1307.978	187.263	493.509	1387.795	31.736	631.823	1297.106	1.736	589.897	1336.683	903.901	389.182	1103.583	959.325	389.165	1166.176	1028.879	541.313	929.572	1073.075	500.873	923.287
2210	22.09000	655.829	372.116	1463.964	651.736	547.824	1371.678	694.191	353.485	1001.260	595.583	355.373	1002.884	750.971	580.635	876.344	547.671	584.768	882.618	843.968	435.959	1417.853	492.797	428.576	1468.409	229.601	480.453	1307.989	187.273	493.463	1387.785	31.773	631.806	1297.062	1.754	589.890	1336.622	903.859	389.078	1103.574	959.306	389.083	1166.200	1028.766	541.125	929.464	1073.040	500.706	923.255
